                        Found 4186 pair / timeframe combinations.                         
┏━━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┓
┃          Pair ┃ Timeframe ┃ Type ┃                From ┃                  To ┃ Candles ┃
│     ADHD/USDC │        1d │ spot │ 2024-07-16 00:00:00 │ 2026-02-14 00:00:00 │     579 │
│     ADHD/USDC │        3d │ spot │ 2024-07-16 00:00:00 │ 2026-02-12 00:00:00 │     193 │
│     ADHD/USDC │        1w │ spot │ 2024-07-11 00:00:00 │ 2026-02-05 00:00:00 │      83 │
│     ADHD/USDC │        1M │ spot │ 2024-07-16 00:00:00 │ 2026-01-07 00:00:00 │      19 │
│     AMZN/USDC │        1m │ spot │ 2026-02-17 09:12:00 │ 2026-02-20 15:47:00 │    4716 │
│     AMZN/USDC │        3m │ spot │ 2026-02-17 09:12:00 │ 2026-02-20 15:45:00 │    1572 │
│     AMZN/USDC │        5m │ spot │ 2026-02-17 09:10:00 │ 2026-02-20 15:40:00 │     943 │
│     AMZN/USDC │       15m │ spot │ 2026-02-17 09:00:00 │ 2026-02-20 15:30:00 │     315 │
│     AMZN/USDC │       30m │ spot │ 2026-02-17 09:00:00 │ 2026-02-20 15:00:00 │     157 │
│     AMZN/USDC │        1h │ spot │ 2026-02-17 09:00:00 │ 2026-02-20 14:00:00 │      78 │
│     AMZN/USDC │        2h │ spot │ 2026-02-17 08:00:00 │ 2026-02-20 12:00:00 │      39 │
│     AMZN/USDC │        4h │ spot │ 2026-02-17 08:00:00 │ 2026-02-20 08:00:00 │      19 │
│     AMZN/USDC │        8h │ spot │ 2026-02-17 08:00:00 │ 2026-02-20 00:00:00 │       9 │
│     AMZN/USDC │       12h │ spot │ 2026-02-17 00:00:00 │ 2026-02-20 00:00:00 │       7 │
│     AMZN/USDC │        1d │ spot │ 2026-02-17 00:00:00 │ 2026-02-19 00:00:00 │       3 │
│     AMZN/USDC │        3d │ spot │ 2026-02-15 00:00:00 │ 2026-02-15 00:00:00 │       1 │
│     AMZN/USDC │        1w │ spot │ 2026-02-12 00:00:00 │ 2026-02-12 00:00:00 │       1 │
│     AMZN/USDC │        1M │ spot │ 1970-01-01 00:00:00 │ 1970-01-01 00:00:00 │       0 │
│     ANON/USDC │        1m │ spot │ 2025-07-12 18:38:00 │ 2026-02-20 17:11:00 │  202359 │
│     ANON/USDC │        3m │ spot │ 2025-07-06 22:45:00 │ 2026-02-20 17:09:00 │   88362 │
│     ANON/USDC │        5m │ spot │ 2025-07-05 05:10:00 │ 2026-02-20 17:05:00 │   58303 │
│     ANON/USDC │       15m │ spot │ 2025-06-02 00:00:00 │ 2026-02-20 16:45:00 │   25316 │
│     ANON/USDC │       30m │ spot │ 2025-06-02 00:00:00 │ 2026-02-20 16:30:00 │   12658 │
│     ANON/USDC │        1h │ spot │ 2025-06-02 00:00:00 │ 2026-02-20 16:00:00 │    6329 │
│     ANON/USDC │        2h │ spot │ 2025-06-02 00:00:00 │ 2026-02-20 14:00:00 │    3164 │
│     ANON/USDC │        4h │ spot │ 2025-06-02 00:00:00 │ 2026-02-20 12:00:00 │    1582 │
│     ANON/USDC │        8h │ spot │ 2025-06-02 00:00:00 │ 2026-02-20 08:00:00 │     791 │
│     ANON/USDC │       12h │ spot │ 2025-06-02 00:00:00 │ 2026-02-20 00:00:00 │     527 │
│     ANON/USDC │        1d │ spot │ 2025-06-02 00:00:00 │ 2026-02-19 00:00:00 │     263 │
│     ANON/USDC │        3d │ spot │ 2025-07-08 00:00:00 │ 2026-02-15 00:00:00 │      75 │
│     ANON/USDC │        1w │ spot │ 2025-07-24 00:00:00 │ 2026-02-12 00:00:00 │      30 │
│     ANON/USDC │        1M │ spot │ 1970-01-01 00:00:00 │ 1970-01-01 00:00:00 │       0 │
│    ANSEM/USDC │        1m │ spot │ 2025-07-17 12:41:00 │ 2026-02-04 15:47:00 │  179427 │
│    ANSEM/USDC │        3m │ spot │ 2025-07-10 14:03:00 │ 2026-02-04 15:45:00 │   85365 │
│    ANSEM/USDC │        5m │ spot │ 2025-07-05 04:10:00 │ 2026-02-04 15:40:00 │   55177 │
│    ANSEM/USDC │       15m │ spot │ 2025-02-10 13:00:00 │ 2026-02-04 15:30:00 │   34475 │
